id,region,price,year,manufacturer,model,condition,fuel,transmission,drive;,car_age,log_price,year_bin
7316814884,auburn,33590.0,2014,gmc,sierra 1500 crew cab slt,good,gas,other,;,10,10.422013452928306,2011-2015
7316814758,auburn,22590.0,2010,chevrolet,silverado 1500,good,gas,other,;,14,10.025306875857222,2001-2010
7316814989,auburn,39590.0,2020,chevrolet,silverado 1500 crew,good,gas,other,;,4,10.586357098684939,2016-2020
7316743432,auburn,30990.0,2017,toyota,tundra double cab sr,good,gas,other,;,7,10.341452118734878,2016-2020
7316356412,auburn,15000.0,2013,ford,f-150 xlt,excellent,gas,automatic,rwd;,11,9.61587214452889,2011-2015
7316343444,auburn,27990.0,2012,gmc,sierra 2500 hd extended cab,good,gas,other,4wd;,12,10.239638308916676,2011-2015
7316304717,auburn,34590.0,2016,chevrolet,silverado 1500 double,good,gas,other,4wd;,8,10.451348811602948,2016-2020
7316285779,auburn,35000.0,2019,toyota,tacoma,excellent,gas,automatic,4wd;,5,10.463131911491967,2016-2020
7316257769,auburn,29990.0,2016,chevrolet,colorado extended cab,good,gas,other,4wd;,8,10.30865261563529,2016-2020
7316133914,auburn,38590.0,2011,chevrolet,corvette grand sport,good,gas,other,rwd;,13,10.560774367644997,2011-2015
7316130053,auburn,4500.0,1992,jeep,cherokee,excellent,gas,automatic,4wd;,32,8.412054873292933,<=2000
7315816316,auburn,32990.0,2017,jeep,wrangler unlimited sport,good,gas,other,4wd;,7,10.403990075979044,2016-2020
7315770394,auburn,24590.0,2017,chevrolet,silverado 1500 regular,good,gas,other,;,7,10.11013580132114,2016-2020
7315756348,auburn,30990.0,2016,chevrolet,colorado crew cab z71,good,other,other,4wd;,8,10.341452118734878,2016-2020
7315715960,auburn,27990.0,2014,toyota,tacoma access cab pickup,good,other,other,;,10,10.239638308916676,2011-2015
7315379459,auburn,37990.0,2016,chevrolet,camaro ss coupe 2d,good,gas,other,rwd;,8,10.54510456855174,2016-2020
7315275975,auburn,33590.0,2014,toyota,tundra crewmax sr5 pickup,good,other,other,;,10,10.422013452928306,2011-2015
7315275942,auburn,30990.0,2019,ford,ranger supercrew xl pickup,good,other,other,;,5,10.341452118734878,2016-2020
7315270785,auburn,27990.0,2018,nissan,frontier crew cab pro-4x,good,gas,other,4wd;,6,10.239638308916676,2016-2020
7314910156,auburn,34590.0,2018,ford,f150 super cab xl pickup 4d,good,gas,other,;,6,10.451348811602948,2016-2020
7314854462,auburn,30590.0,2016,toyota,tacoma double cab sr5,good,other,other,;,8,10.328461127032336,2016-2020
7314811916,auburn,32990.0,2020,jeep,wrangler sport suv 2d,good,gas,other,4wd;,4,10.403990075979044,2016-2020
7314811909,auburn,38990.0,2020,ford,f150 supercrew cab xlt,good,gas,other,;,4,10.571086129249698,2016-2020
7314584296,auburn,22590.0,2017,ram,1500 regular cab tradesman,good,gas,other,;,7,10.025306875857222,2016-2020
7314584315,auburn,31590.0,2020,mazda,mx-5 miata club,good,gas,other,rwd;,4,10.360627548882315,2016-2020
7314584322,auburn,27990.0,2020,ford,ranger supercab xl pickup,good,gas,other,;,4,10.239638308916676,2016-2020
7314584291,auburn,31590.0,2019,cadillac,xt4 sport suv 4d,good,other,other,fwd;,5,10.360627548882315,2016-2020
7314560853,auburn,19900.0,2004,ford,f250 super duty,good,diesel,automatic,4wd;,20,9.898525260706313,2001-2010
7313857831,auburn,16590.0,2016,jeep,renegade sport suv 4d,good,gas,other,4wd;,8,9.716615658643356,2016-2020
7313857767,auburn,26990.0,2016,ford,f150 regular cab xl pickup,good,gas,other,;,8,10.203258756085228,2016-2020
7313857701,auburn,25590.0,2015,gmc,sierra 1500 regular cab,good,other,other,;,9,10.149996006155071,2011-2015
7313406529,auburn,14000.0,2012,honda,odyssey,excellent,gas,automatic,fwd;,12,9.546884034617925,2011-2015
7313387888,auburn,28590.0,2018,ram,1500 quad cab express pickup,good,other,other,;,6,10.260847261969445,2016-2020
7313387902,auburn,24590.0,2013,gmc,sierra 1500 extended cab slt,good,other,other,;,11,10.11013580132114,2011-2015
