id,region,price,year,manufacturer,model,condition,fuel,transmission,drive;
7316814884,auburn,33590,2014.0,gmc,sierra 1500 crew cab slt,good,gas,other,;
7316814758,auburn,22590,2010.0,chevrolet,silverado 1500,good,gas,other,;
7316814989,auburn,39590,2020.0,chevrolet,silverado 1500 crew,good,gas,other,;
7316743432,auburn,30990,2017.0,toyota,tundra double cab sr,good,gas,other,;
7316356412,auburn,15000,2013.0,ford,f-150 xlt,excellent,gas,automatic,rwd;
7316343444,auburn,27990,2012.0,gmc,sierra 2500 hd extended cab,good,gas,other,4wd;
7316304717,auburn,34590,2016.0,chevrolet,silverado 1500 double,good,gas,other,4wd;
7316285779,auburn,35000,2019.0,toyota,tacoma,excellent,gas,automatic,4wd;
7316257769,auburn,29990,2016.0,chevrolet,colorado extended cab,good,gas,other,4wd;
7316133914,auburn,38590,2011.0,chevrolet,corvette grand sport,good,gas,other,rwd;
7316130053,auburn,4500,1992.0,jeep,cherokee,excellent,gas,automatic,4wd;
7315816316,auburn,32990,2017.0,jeep,wrangler unlimited sport,good,gas,other,4wd;
7315770394,auburn,24590,2017.0,chevrolet,silverado 1500 regular,good,gas,other,;
7315756348,auburn,30990,2016.0,chevrolet,colorado crew cab z71,good,other,other,4wd;
7315715960,auburn,27990,2014.0,toyota,tacoma access cab pickup,good,other,other,;
7315379459,auburn,37990,2016.0,chevrolet,camaro ss coupe 2d,good,gas,other,rwd;
7315275975,auburn,33590,2014.0,toyota,tundra crewmax sr5 pickup,good,other,other,;
7315275942,auburn,30990,2019.0,ford,ranger supercrew xl pickup,good,other,other,;
7315270785,auburn,27990,2018.0,nissan,frontier crew cab pro-4x,good,gas,other,4wd;
7315039307,auburn,0,2011.0,jeep,compass,excellent,gas,automatic,;
7314910156,auburn,34590,2018.0,ford,f150 super cab xl pickup 4d,good,gas,other,;
7314854462,auburn,30590,2016.0,toyota,tacoma double cab sr5,good,other,other,;
7314811916,auburn,32990,2020.0,jeep,wrangler sport suv 2d,good,gas,other,4wd;
7314811909,auburn,38990,2020.0,ford,f150 supercrew cab xlt,good,gas,other,;
7314584296,auburn,22590,2017.0,ram,1500 regular cab tradesman,good,gas,other,;
7314584315,auburn,31590,2020.0,mazda,mx-5 miata club,good,gas,other,rwd;
7314584322,auburn,27990,2020.0,ford,ranger supercab xl pickup,good,gas,other,;
7314584291,auburn,31590,2019.0,cadillac,xt4 sport suv 4d,good,other,other,fwd;
7314560853,auburn,19900,2004.0,ford,f250 super duty,good,diesel,automatic,4wd;
7313857831,auburn,16590,2016.0,jeep,renegade sport suv 4d,good,gas,other,4wd;
7313857767,auburn,26990,2016.0,ford,f150 regular cab xl pickup,good,gas,other,;
7313857701,auburn,25590,2015.0,gmc,sierra 1500 regular cab,good,other,other,;
7313406529,auburn,14000,2012.0,honda,odyssey,excellent,gas,automatic,fwd;
7313387888,auburn,28590,2018.0,ram,1500 quad cab express pickup,good,other,other,;
7313387902,auburn,24590,2013.0,gmc,sierra 1500 extended cab slt,good,other,other,;
7313337060,auburn,25990,2019.0,ram,1500 classic regular cab,good,gas,other,;
7313319521,auburn,34990,2018.0,ford,mustang gt premium,good,gas,other,rwd;
7312858079,auburn,27990,2017.0,chevrolet,colorado extended cab,good,gas,other,;
7312847466,auburn,22500,2001.0,ford,f450,good,diesel,manual,rwd;
7312824400,auburn,32990,2019.0,chevrolet,silverado 1500 ld,good,other,other,;
7312799035,auburn,31990,2013.0,toyota,tundra double cab pickup,good,gas,other,4wd;
7312754093,auburn,29990,2014.0,chevrolet,silverado 1500 double,good,gas,other,4wd;
7312342653,auburn,23990,2016.0,chevrolet,silverado 1500 regular,good,gas,other,;
7312342811,auburn,22990,2012.0,toyota,tacoma access cab pickup,good,gas,other,;
7312337810,auburn,26990,2014.0,chevrolet,silverado 1500 crew,good,gas,automatic,;
7312313815,auburn,33990,2017.0,jeep,wrangler unlimited sahara,good,other,other,4wd;
7312144944,auburn,15000,2017.0,dodge,charger rt 4dr sedan,excellent,gas,automatic,rwd;
7311960895,auburn,26590,2020.0,honda,civic si coupe 2d,good,gas,other,fwd;
7311818339,auburn,18590,2018.0,honda,civic lx sedan 4d,good,gas,other,fwd;
7311818189,auburn,29590,2017.0,ford,expedition xlt sport,good,gas,other,4wd;
7311818157,auburn,21590,2018.0,honda,civic ex sedan 4d,good,gas,other,fwd;
7311409434,auburn,22590,2013.0,ford,f150 super cab xl pickup 4d,good,other,other,;
7311351407,auburn,33990,2020.0,jeep,wrangler sport suv 2d,good,gas,other,4wd;
7311327726,auburn,29990,2012.0,toyota,tacoma double cab pickup,good,gas,other,4wd;
7311310782,auburn,37590,2019.0,ford,f150 supercrew cab xl,good,gas,other,;
7310905283,auburn,25990,2015.0,lexus,nx 300h sport utility 4d,good,other,other,;
7310848060,auburn,32990,2018.0,jaguar,e-pace p250 s sport,good,other,other,;
7310803539,auburn,28990,2020.0,buick,encore gx essence sport,good,gas,other,;
7310798664,auburn,34990,2020.0,lexus,nx 300 sport utility 4d,good,gas,other,fwd;
7310644616,auburn,3000,2004.0,chrysler,town & country,good,gas,automatic,fwd;
7310383361,auburn,22590,2016.0,volvo,s60 t5 cross country,good,gas,other,;
7310332383,auburn,36990,2019.0,volvo,s60 t6 inscription sedan,good,gas,other,;
7310308166,auburn,31990,2020.0,volvo,s60 t5 momentum sedan 4d,good,gas,other,fwd;
7310276274,auburn,28590,2019.0,volvo,s60 t5 momentum sedan 4d,good,gas,other,fwd;
7309876037,auburn,31990,2018.0,audi,q5 premium sport utility 4d,good,gas,other,;
7309828117,auburn,19990,2015.0,infiniti,qx60 3.5 sport utility,good,other,other,;
7309827921,auburn,29590,2017.0,lincoln,continental select sedan,good,gas,other,;
7309828053,auburn,29990,2018.0,alfa-romeo,romeo stelvio ti sport,good,other,other,;
7309798041,auburn,2100,2006.0,subaru,impreza,fair,gas,automatic,;
7309361405,auburn,80,2004.0,honda,,excellent,gas,automatic,;
7309271279,auburn,15990,2016.0,,Scion iM Hatchback 4D,good,gas,other,fwd;
7309271051,auburn,20590,2013.0,acura,mdx sport utility 4d,good,gas,other,;
7309229548,auburn,29590,2018.0,audi,a6 2.0t premium sedan 4d,good,gas,other,fwd;
7309192232,auburn,16590,2015.0,hyundai,sonata sport sedan 4d,good,gas,other,fwd;
7309160821,auburn,12990,1968.0,volvo,,,gas,manual,;
7308779719,auburn,33990,2017.0,ram,1500 crew cab tradesman,good,gas,other,4wd;
7308779686,auburn,36590,2019.0,gmc,sierra 1500 limited double,good,gas,other,4wd;
7308745779,auburn,29590,2013.0,gmc,sierra 1500 extended cab slt,good,gas,other,;
7308730136,auburn,40590,2019.0,ford,f250 super duty regular cab,good,other,other,4wd;
7308365829,auburn,33990,2018.0,jeep,wrangler unlimited willys,good,gas,other,4wd;
7308255063,auburn,43990,2019.0,jeep,wrangler unlimited sahara,good,gas,other,4wd;
7308217002,auburn,38990,2017.0,jeep,wrangler unlimited rubicon,good,gas,other,4wd;
7308216849,auburn,39590,2018.0,jeep,wrangler unlimited all new,good,gas,other,4wd;
7307730503,auburn,9500,2003.0,chrysler,town & country,excellent,gas,automatic,fwd;
7307218858,auburn,28590,2018.0,gmc,acadia sle-2 sport utility,good,gas,other,fwd;
7307164168,auburn,16590,2013.0,lincoln,mkz sedan 4d,good,gas,other,fwd;
7307164193,auburn,28990,2017.0,gmc,acadia slt-1 sport utility,good,gas,other,fwd;
7307142186,auburn,20590,2017.0,lincoln,mkz premiere sedan 4d,good,gas,other,fwd;
7306701617,auburn,26990,2015.0,lexus,nx 200t sport utility 4d,good,gas,other,fwd;
7306676175,auburn,26990,2016.0,lexus,nx 200t sport utility 4d,good,gas,other,fwd;
7306676124,auburn,22590,2020.0,buick,encore gx select sport,good,other,other,;
7306625443,auburn,35990,2018.0,jaguar,e-pace p250 se sport,good,gas,other,;
7306407989,auburn,17500,2008.0,toyota,fj cruiser,good,gas,manual,4wd;
7306259907,auburn,6000,2007.0,mercedes-benz,e320 cdi,good,diesel,automatic,rwd;
7306238443,auburn,25990,2018.0,volvo,s60 t5 inscription sedan,good,diesel,other,;
